_id,Time,T,H,DP,CO2,pCount,db_name,coll_name,id,DateTime
6981d082d8d586d52cccd2da,3 Feb 2026 12:40:3,24.1,41.29,12.36,865,31,data_ml,simulated,simulated,3 Feb 2026 10:40:2
6981d0bed8d586d52cccd2db,3 Feb 2026 12:41:3,24.16,41.21,12.4,880,32,data_ml,simulated,simulated,3 Feb 2026 10:41:2
6981d0fad8d586d52cccd2dd,3 Feb 2026 12:42:3,24.23,41.27,12.48,865,31,data_ml,simulated,simulated,3 Feb 2026 10:42:2
6981d136d8d586d52cccd2de,3 Feb 2026 12:43:3,24.17,41.34,12.44,865,31,data_ml,simulated,simulated,3 Feb 2026 10:43:2
6981d252d8d586d52cccd2e1,3 Feb 2026 10:47:46,22.69,39.12,10.51,520,8,data_ml,simulated,simulated,3 Feb 2026 10:47:46
6981d28ed8d586d52cccd2e2,3 Feb 2026 10:48:46,22.36,38.73,10.11,460,4,data_ml,simulated,simulated,3 Feb 2026 10:48:46
6981d2cad8d586d52cccd2e3,3 Feb 2026 10:49:46,22.56,38.92,10.34,520,8,data_ml,simulated,simulated,3 Feb 2026 10:49:46
6981d307d8d586d52cccd2e5,3 Feb 2026 10:50:46,22.47,38.88,10.25,490,6,data_ml,simulated,simulated,3 Feb 2026 10:50:47
6981d343d8d586d52cccd2e7,3 Feb 2026 10:51:46,22.67,38.94,10.46,520,8,data_ml,simulated,simulated,3 Feb 2026 10:51:47
6981d37fd8d586d52cccd2e8,3 Feb 2026 10:52:46,22.37,38.66,10.1,460,4,data_ml,simulated,simulated,3 Feb 2026 10:52:47
6981d3bbd8d586d52cccd2e9,3 Feb 2026 10:53:46,22.47,38.61,10.19,490,6,data_ml,simulated,simulated,3 Feb 2026 10:53:47
6981d3f7d8d586d52cccd2ea,3 Feb 2026 10:54:46,22.47,38.83,10.24,475,5,data_ml,simulated,simulated,3 Feb 2026 10:54:47
6981d433d8d586d52cccd2ec,3 Feb 2026 10:55:46,22.5,38.5,10.2,475,5,data_ml,simulated,simulated,3 Feb 2026 10:55:47
6981d46fd8d586d52cccd2ee,3 Feb 2026 10:56:47,22.31,38.72,10.05,460,4,data_ml,simulated,simulated,3 Feb 2026 10:56:47
6981d4abd8d586d52cccd2ef,3 Feb 2026 10:57:47,22.61,39.12,10.43,535,9,data_ml,simulated,simulated,3 Feb 2026 10:57:47
6981d4e7d8d586d52cccd2f0,3 Feb 2026 10:58:47,22.2,38.63,9.93,445,3,data_ml,simulated,simulated,3 Feb 2026 10:58:47
6981d523d8d586d52cccd2f1,3 Feb 2026 10:59:47,22.55,38.85,10.32,505,7,data_ml,simulated,simulated,3 Feb 2026 10:59:47
6981d55fd8d586d52cccd2f3,3 Feb 2026 11:0:47,23.52,40.28,11.58,700,20,data_ml,simulated,simulated,3 Feb 2026 11:0:47
6981d59bd8d586d52cccd2f5,3 Feb 2026 11:1:47,23.01,39.59,10.93,595,13,data_ml,simulated,simulated,3 Feb 2026 11:1:47
6981d5d7d8d586d52cccd2f6,3 Feb 2026 11:2:47,23.1,39.62,11.02,625,15,data_ml,simulated,simulated,3 Feb 2026 11:2:47
6981d613d8d586d52cccd2f7,3 Feb 2026 11:3:47,23.21,39.89,11.19,640,16,data_ml,simulated,simulated,3 Feb 2026 11:3:47
6981d64fd8d586d52cccd2f8,3 Feb 2026 11:4:47,23.12,39.73,11.07,610,14,data_ml,simulated,simulated,3 Feb 2026 11:4:47
